Bioma,Intempérie,Posição,População Quilombola,Macrorregião,SE+ECP,Código,Status,UF,Nome,Município,Município código,População Total,Latitude,Longitude,Macrorregião código,Região,Região código,SE,ECP,Agua,Estiagem,Incendio,Frio,Erosao,Outros
Caatinga,Estiagem,2,89,MACRORREGIAO II - CAMPINA GRANDE,22,25285,Portaria,PB,Engenho do Bonfim - PB,Areia,2501104,89,-7.006137694,-35.775111,2502,3ª REGIAO,25003,18,4,0,18,0,0,0,4
Cerrado,Agua,1,711,MACRORREGIAO CENTRO-NORTE,8,51135,Decreto,MT,Mata Cavalo - MT,Nossa Senhora do Livramento,5106109,888,-15.91928128,-56.41369328,5105,BAIXADA CUIABANA,51002,7,1,3,1,2,0,0,2
Cerrado,Agua,1,549,MACRORREGIAO LESTE,6,21232,Decreto,MA,Matões dos Moreira - MA,Codó,2103307,564,-4.728084583,-44.19475857,2111,CODO,21007,1,5,1,0,0,0,0,5
Cerrado,Outros,1,435,MACRORREGIAO CENTRO-SUL,2,17139,RTID (1),TO,Barra do Aroeira - TO,Santa Tereza do Tocantins,1719004,885,-10.28086492,-47.71287741,1702,CAPIM DOURADO,17006,0,2,0,0,0,0,0,2
Cerrado,Incêndio,1,277,CENTRO,1,50121,Decreto,MS,Furnas do Dionísio - MS,Jaraguari,5004908,282,-20.15942678,-54.56171241,5010,CENTRO,50011,1,0,0,0,1,0,0,0
Cerrado,Agua,1,253,RRAS8,1,35401,Portaria,SP,Jaó - SP,Itapeva,3522406,266,-23.9056396,-48.84141591,3519,ITAPEVA,35162,1,0,1,0,0,0,0,0
Cerrado,Estiagem/Incêndio,1,125,CENTRO,2,50119,Decreto,MS,Colônia de São Miguel - MS,Maracaju,5005400,125,-21.25043,-55.65345413,5010,BAIXO PANTANAL,50009,2,0,0,1,1,0,0,0
Cerrado,Incêndio,1,56,MACRORREGIAO CENTRO-NORTE,9,51136,Decreto,MT,Lagoinha de Baixo - MT,Chapada dos Guimarães,5103007,63,-15.35740453,-55.5504036,5105,BAIXADA CUIABANA,51002,8,1,2,1,4,0,0,2
Cerrado,Nao,1,27,MACRORREGIAO CENTRO-NORTE,3,52324,RTID (1),GO,Porto Leucádio - GO,São Luiz do Norte,5220157,30,-14.97319043,-49.30367539,5209,SAO PATRICIO I,52013,1,2,0,0,0,0,0,3
Cerrado,Agua,1,24,CENTRO,6,31533,RTID (1),MG,Pimentel - MG,Pedro Leopoldo,3149309,38,-19.65217111,-44.08529578,3103,VESPASIANO/LAGOA SANTA,31025,2,4,2,0,0,0,0,4
Cerrado,Incêndio,2,138,CENTRO,3,50122,Decreto,MS,Furnas da Boa Sorte - MS,Corguinho,5003108,146,-19.906563,-55.14878677,5010,CENTRO,50011,3,0,1,0,2,0,0,0
Cerrado,Agua,2,137,MACRORREGIAO LESTE,6,21380,Decreto,MA,Santa Joana - MA,Codó,2103307,151,-4.598135312,-43.95989605,2111,CODO,21007,1,5,1,0,0,0,0,5
